2017-08-24 18:39:46 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:39:46 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:39:49 INFO  Browser:24 - Implicit wait applied on the driver for 60 seconds
2017-08-24 18:39:49 INFO  Browser:26 - Maximixe the window
2017-08-24 18:39:49 INFO  Browser:27 - Web application launched: http://toolsqa.com/handling-alerts-using-selenium-webdriver/
2017-08-24 18:40:16 INFO  Browser:18 - Hello
2017-08-24 18:40:16 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:40:16 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:40:21 INFO  Browser:24 - Implicit wait applied on the driver for 60 seconds
2017-08-24 18:40:21 INFO  Browser:26 - Maximixe the window
2017-08-24 18:40:21 INFO  Browser:27 - Web application launched: http://toolsqa.com/handling-alerts-using-selenium-webdriver/
2017-08-24 18:40:41 INFO  Browser:18 - Hello
2017-08-24 18:40:41 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:40:41 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:40:46 INFO  Browser:24 - Implicit wait applied on the driver for 60 seconds
2017-08-24 18:41:18 INFO  Browser:18 - Hello
2017-08-24 18:41:18 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:41:18 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:41:26 INFO  Browser:24 - Implicit wait applied on the driver for 60 seconds
2017-08-24 18:41:29 INFO  Browser:18 - Hello
2017-08-24 18:41:29 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:41:29 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-24 18:41:33 INFO  Browser:24 - Implicit wait applied on the driver for 60 seconds
2017-08-24 18:41:33 INFO  Browser:26 - Maximixe the window
2017-08-24 18:41:33 INFO  Browser:27 - Web application launched: http://toolsqa.com/handling-alerts-using-selenium-webdriver/
2017-08-28 11:18:39 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-28 11:18:39 INFO  DataStoreRepository:52 - Property file is loaded successfully: config.properties
2017-08-28 11:18:44 INFO  Browser:23 - Implicit wait applied on the driver for 60 seconds
2017-08-28 11:18:45 INFO  Browser:25 - Maximixe the window
2017-08-28 11:18:45 INFO  Browser:26 - Web application launched: http://toolsqa.com/handling-alerts-using-selenium-webdriver/
2017-11-21 12:43:01 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:43:01 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:43:01 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:43:01 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:44:30 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:44:30 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:44:30 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:44:30 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:46:31 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:46:31 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:46:31 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:46:31 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:46:36 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 12:46:37 INFO  Browser:23 - Maximixe the window
2017-11-21 12:46:37 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 12:47:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:47:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:47:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:47:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:47:14 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 12:47:16 INFO  Browser:23 - Maximixe the window
2017-11-21 12:47:16 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 12:49:19 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:49:19 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:49:19 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:49:19 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-21 12:49:23 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-21 12:49:24 INFO  Browser:23 - Maximixe the window
2017-11-21 12:49:24 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-21 12:51:04 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:51:04 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:52:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:52:10 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 12:52:55 INFO  DataStoreRepository:74 - Property file is loaded successfully: pageobjects/loginPage.properties
2017-11-21 12:52:55 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 13:01:09 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 13:01:09 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 13:26:39 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects1/loginPage.properties
2017-11-21 13:26:39 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:12:45 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:12:45 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:13:29 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:13:29 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:15:31 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
2017-11-21 14:15:31 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-21 14:15:48 INFO  DataStoreRepository:74 - Property file is loaded successfully: PageObjects/loginPage.properties
